callsign,icao,name,prefix,fir
LKAA,LKAA,Praha,,LKAA
LLTA,LLLL,Tel Aviv,LLTA,LLLL
LLLL,LLLL,Tel Aviv,LLTA,LLLL
SHOLET,LLLL,Tel Aviv,SHOLET,LLLL
LLSC,LLSC,Tel Aviv South,,LLSC
PLUTO,LLPL,Pluto,PLUTO,LLLL
LLPT,LLPT,Tel Aviv North,PLUTO,LLPT
LLPL,LLPL,Pluto,PLUTO,LLLL
HAGAV,LLGV,Hagav,HAGAV,LLLL
LLGV,LLGV,Hagav,HAGAV,LLLL
LMMM,LMMM,Malta,,LMMM
LOVV-C,LOVV-C,Wien,,LOVV-C
LOVV-B,LOVV-B,Wien,,LOVV-B
LOVV-N,LOVV-N,Wien,,LOVV-N
LOVV-E,LOVV-E,Wien,,LOVV-E
LOVV-W,LOVV-W,Wien,,LOVV-W
LOVV,LOVV,Wien,,LOVV
LPPC,LPPC,Lisboa,,LPPC
LPPC_D,LPPC-D,Lisboa - DEMOS Sector,LPPC_D,LPPC-D
LPPC-D,LPPC-D,Lisboa - DEMOS Sector,LPPC_D,LPPC-D
LPPC_V,LPPC-V,Lisboa - VERAM Sector,LPPC_V,LPPC-V
LPPC-V,LPPC-V,Lisboa - VERAM Sector,LPPC_V,LPPC-V
LPPC_I,LPPC-I,Lisboa - MADEIRA Sector,LPPC_I,LPPC-I
LPPC-I,LPPC-I,Lisboa - MADEIRA Sector,LPPC_I,LPPC-I
LPPC_N,LPPC-N,Lisboa - NORTH Sector,LPPC_N,LPPC-N
LPPC-N,LPPC-N,Lisboa - NORTH Sector,LPPC_N,LPPC-N
LPPC_C,LPPC-C,Lisboa - CENTRE Sector,LPPC_C,LPPC-C
LPPC-C,LPPC-C,Lisboa - CENTRE Sector,LPPC_C,LPPC-C
LPPC_S,LPPC-S,Lisboa - SOUTH Sector,LPPC_S,LPPC-S
LPPC-S,LPPC-S,Lisboa - SOUTH Sector,LPPC_S,LPPC-S
LPAZ,LPPO,Santa Maria,LPAZ,LPPO
LPPO,LPPO-TMA,Santa Maria Radar,LPPO,LPPO-TMA
LPPO-TMA,LPPO-TMA,Santa Maria Radar,LPPO,LPPO-TMA
LPAM,LPAM,Lisboa Military,,LPPC
LQSA,LQSB,Sarajevo,LQSA,LQSB
LQSB,LQSB,Sarajevo,LQSA,LQSB
LRBB,LRBB,Bucharest,,LRBB
LSAS,LSAS,Swiss Radar - Switzerland,,LSAS
LSAG,LSAG,Swiss Radar (Geneva ACC) - Switzerland,,LSAG
LSAZ,LSAZ,Swiss Radar (Zurich ACC) - Switzerland,,LSAZ
LTAA,LTAA,Ankara Control - Ankara,,LTAA
LTBB,LTBB,Ankara Control - Istanbul,,LTBB
LUKK,LUUU,Chisinau,LUKK,LUUU
LUUU,LUUU,Chisinau,LUKK,LUUU
LWSS,LWSS,Skopje,,LWSS
LYBA,LYBA,Beograd,,LYBA
LZBB,LZBB,Bratislava,,LZBB
MDCS,MDCS,Santo Domingo,,MDCS
MHCC,MHCC,Cenamer,,MHCC
MKJK,MKJK,Kingston,,MKJK
MEX,MMEX,Mexico,MEX,MMEX
MMEX,MMEX,Mexico,MEX,MMEX
MID,MMID,Merida,MID,MMID
MMID,MMID,Merida,MID,MMID
MTY,MMTY,Monterrey,MTY,MMTY
MMTY,MMTY,Monterrey,MTY,MMTY
MZT,MMFO,Mazatlan,MZT,MMZT
MMZT,MMZT,Mazatlan,MZT,MMZT
MMFO,MMFO,Mazatlan,MZT,MMZT
MPZL,MPZL,Panama,,MPZL
MTEG,MTEG,Port-Au-Prince,,MTEG
HAV,MUFH,Havana,HAV,MUFH
MUFH,MUFH,Havana,HAV,MUFH
NAT,NAT,Shanwick & Gander,NAT,NAT
NCRG,NCRG,Rarotonga,,NCRG
NFFF,NFFF,Nadi Oceanic,,NFFF
NFFN,NFFN,Nadi,,NFFN
NVVV,NVVV,Port Vila,,NVVV
NSTU,NSTU,Pago Pago,,NZZO
NTTT,NTTT,Tahiti,,NTTT
NTTC,NTTC,Tahiti,,NTTC
NWWW,NWWW,Noumea,,NWWW
NZZO,NZZO,Auckland Radio,,NZZO
NZZO-E,NZZO,Auckland Radio East,NZZO-E,NZZO
NZAA,NZAA,Auckland,,NZAA
NZAA-R,NZAA,Auckland,NZAA-R,NZAA
NZCH-B,NZCB,Christchurch (Bay),NZCH-B,NZCB
NZCB,NZCB,Christchurch (Bay),NZCH-B,NZCB
NZCH-T,NZCT,Christchurch (Taranaki),NZCH-T,NZCT
NZCT,NZCT,Christchurch (Taranaki),NZCH-T,NZCT
NZCH-K,NZCK,Christchurch (Kaikoura),NZCH-K,NZCK
NZCK,NZCK,Christchurch (Kaikoura),NZCH-K,NZCK
NZCH-S,NZCS,Christchurch (South),NZCH-S,NZCS
NZCS,NZCS,Christchurch (South),NZCH-S,NZCS
NZOH,NZOH,Ohakea,,NZOH
NZCM,NZCM,McMurdo (Mac),,NZCM
NSFA,NSFA,Faleolo,,NSFA
OAKX,OAKX,Kabul,,OAKX
OBBB,OBBB,Bahrain,,OBBB
OBBB_E,OBBB-E,Bahrain East,OBBB_E,OBBB-E
OBBB-E,OBBB-E,Bahrain East,OBBB_E,OBBB-E
OBBB_N,OBBB-N,Bahrain North,OBBB_N,OBBB-N
OBBB-N,OBBB-N,Bahrain North,OBBB_N,OBBB-N
OBBB_S,OBBB-S,Bahrain South,OBBB_S,OBBB-S
OBBB-S,OBBB-S,Bahrain South,OBBB_S,OBBB-S
OBBB_C,OBBB-C,Bahrain Central,OBBB_C,OBBB-C
OBBB-C,OBBB-C,Bahrain Central,OBBB_C,OBBB-C
OEJD,OEJD,Jeddah,,OEJD
OERD,OERD,Riyadh,,OERD
TEH,OIIX,Tehran,TEH,OIIX
OIIX,OIIX,Tehran,TEH,OIIX
OTDF,OTDF,Doha FIR (Up to FL245),,OTDF
TEH_1W,TEH-1W,Tehran 1 West,TEH_1W,TEH-1W
TEH-1W,TEH-1W,Tehran 1 West,TEH_1W,TEH-1W
TEH_1N,TEH-1N,Tehran 1 North,TEH_1N,TEH-1N
TEH-1N,TEH-1N,Tehran 1 North,TEH_1N,TEH-1N
TEH_1E,TEH-1E,Tehran 1 East,TEH_1E,TEH-1E
TEH-1E,TEH-1E,Tehran 1 East,TEH_1E,TEH-1E
TEH_2W,TEH-2W,Tehran 2 West,TEH_2W,TEH-2W
TEH-2W,TEH-2W,Tehran 2 West,TEH_2W,TEH-2W
TEH_2E,TEH-2E,Tehran 2 East,TEH_2E,TEH-2E
TEH-2E,TEH-2E,Tehran 2 East,TEH_2E,TEH-2E
TEH_3N,TEH-3N,Tehran 3 North,TEH_3N,TEH-3N
TEH-3N,TEH-3N,Tehran 3 North,TEH_3N,TEH-3N
TEH_3S,TEH-3S,Tehran 3 South,TEH_3S,TEH-3S
TEH-3S,TEH-3S,Tehran 3 South,TEH_3S,TEH-3S
TEH_4W,TEH-4W,Tehran 4 West,TEH_4W,TEH-4W
TEH-4W,TEH-4W,Tehran 4 West,TEH_4W,TEH-4W
TEH_4S,TEH-4S,Tehran 4 South,TEH_4S,TEH-4S
TEH-4S,TEH-4S,Tehran 4 South,TEH_4S,TEH-4S
TEH_4E,TEH-4E,Tehran 4 East,TEH_4E,TEH-4E
TEH-4E,TEH-4E,Tehran 4 East,TEH_4E,TEH-4E
TEH_5W,TEH-5W,Tehran 5 West,TEH_5W,TEH-5W
TEH-5W,TEH-5W,Tehran 5 West,TEH_5W,TEH-5W
TEH_5E,TEH-5E,Tehran 5 East,TEH_5E,TEH-5E
TEH-5E,TEH-5E,Tehran 5 East,TEH_5E,TEH-5E
TEH_6E,TEH-6E,Tehran 6 East,TEH_6E,TEH-6E
TEH-6E,TEH-6E,Tehran 6 East,TEH_6E,TEH-6E
TEH_6W,TEH-6W,Tehran 6 West,TEH_6W,TEH-6W
TEH-6W,TEH-6W,Tehran 6 West,TEH_6W,TEH-6W
TEH_7,TEH-7,Tehran 7,TEH_7,TEH-7
TEH-7,TEH-7,Tehran 7,TEH_7,TEH-7
OJAC,OJAC,Amman,,OJAC
OKAC,OKAC,Kuwait,,OKAC
OLBA,OLBB,Beirut,OLBA,OLBB
OLBB,OLBB,Beirut,OLBA,OLBB
UAE,OMAE,U.A.E,UAE,OMAE
OMAE,OMAE,U.A.E,UAE,OMAE
OOMM,OOMM,Muscat,,OOMM
OPKR,OPKR,Karachi,OPKR,OPKR
OPKR-C,OPKR,Karachi,OPKR-C,OPKR
OPKR-E,OPKR,Karachi,OPKR-E,OPKR
OPKR-S,OPKR,Karachi,OPKR-S,OPKR
OPKR-W,OPKR,Karachi,OPKR-W,OPKR
OPLR,OPLR,Lahore,OPLR,OPLR
OPLR-E,OPLR,Lahore,OPLR-E,OPLR
ISB,OPLR,Lahore (Islamabad),ISB,OPLR
OPLR-S,OPLR,Lahore,OPLR-S,OPLR
OPLR-W,OPLR,Lahore,OPLR-W,OPLR
ORBB,ORBB,Baghdad,,ORBB
ORBB-N,ORBB-N,Baghdad North,,ORBB-N
ORBB-S,ORBB-S,Baghdad South,,ORBB-N
OSDI,OSTT,Damascus,OSDI,OSTT
OSTT,OSTT,Damascus,OSDI,OSTT
OYSC,OYSC,Sanaa,,OYSC
ANC,PAZA,Anchorage,ANC,PAZA
PAZA,PAZA,Anchorage,ANC,PAZA
GU,PGZU,Guam,GU,PGZU
PGZU,PGZU,Guam,GU,PGZU
GUM,PGZU,Guam,GUM,PGZU
GUAM,PGZU,Guam,GUAM,PGZU
UAM,PGZU,Guam,UAM,PGZU
HNL,PHZH,Honolulu,HNL,PHZH
PHZH,PHZH,Honolulu,HNL,PHZH
HCF,PHZH,Honolulu,HCF,PHZH
TPE,RCAA,Taipei,TPE,RCAA
RCAA,RCAA,Taipei,TPE,RCAA
SPO,RJCG,Sapporo ACC - Fukuoka,SPO,RJCG
RJCG,RJCG,Sapporo ACC - Fukuoka,SPO,RJCG
RJCO,RJCG,Sapporo ACC - Fukuoka,RJCO,RJCG
FKO,RJDG,Fukuoka ACC - Fukuoka,FKO,RJDG
RJDG,RJDG,Fukuoka ACC - Fukuoka,FKO,RJDG
RJTG,RJTG,Tokyo ACC - Fukuoka,,RJTG
RKRR,RKRR,Incheon ACC - Incheon,,RKRR
RKRR-N,RKRR-N,Incheon ACC (North) - Incheon,,RKRR-N
RKRR-S,RKRR-S,Incheon ACC (South) - Incheon,,RKRR-S
RKDA,RKDA,Daegu ACC - Incheon,,RKDA
RKDA-W,RKDA-W,Daegu ACC (West) - Incheon,,RKDA
RKDA-E,RKDA-E,Daegu ACC (East) - Incheon,,RKDA
RKDA-C,RKDA-C,Daegu ACC (Central) - Incheon,,RKDA
RJBG,RJBG,Kobe ACC - Fukuoka,,RJBG
MNL,RPHI,Manila,MNL,RPHI
RPHI,RPHI,Manila,MNL,RPHI
SACF,SACF,Cordoba,,SACF
SACO,SACO,Cordoba TMA - Cordoba,,SACO
SAEF,SAEF,Ezeiza,,SAEF
SAEF_N,SAEF-N,Ezeiza ACC (North) - Ezeiza,SAEF_N,SAEF-N
SAEF-N,SAEF-N,Ezeiza ACC (North) - Ezeiza,SAEF_N,SAEF-N
SAEF_S,SAEF-S,Ezeiza ACC (South) - Ezeiza,SAEF_S,SAEF-S
SAEF-S,SAEF-S,Ezeiza ACC (South) - Ezeiza,SAEF_S,SAEF-S
BAIRES,BAIRES,Baires TMA - Ezeiza,,BAIRES
SAMF,SAMF,Mendoza,,SAMF
SAME,SAME,Mendoza TMA - Mendoza,,SAME
SARR,SARR,Resistencia,,SARR
SARE,SARE,Resistencia TMA - Resistencia,,SARE
SAVF,SAVF,Comodoro Rivadavia,,SAVF
SAVC,SAVC,Comodoro Rivadavia TMA - Comodoro Rivadavia,,SAVC
SBAZ,SBAZ,Amazonica,,SBAZ
SBBR,SBBS,Brasilia,SBBR,SBBS
SBBS,SBBS,Brasilia,SBBR,SBBS
SBCW,SBCW,Curitiba,,SBCW
SBAO,SBAO,Atlantico Oceanic,,SBAO
SBRE,SBRE,Recife,,SBRE
SCCZ,SCCZ,Punta Arenas,,SCCZ
SCEZ,SCEZ,Santiago,,SCEZ
SCFZ,SCFZ,Antofagasta,,SCFZ
SCIZ,SCIZ,Pascua,,SCIZ
SCTZ,SCTZ,Puerto Montt,,SCTZ
SEFG,SEFG,Guayaquil,,SEFG
SGFA,SGFA,Asuncion,,SGFA
SKEC,SKEC,Barranquilla,,SKEC
SKED,SKED,Bogota,,SKED
SLLF,SLLF,La Paz,,SLLF
SMPM,SMPM,Paramaribo,,SMPM
SOOO,SOOO,Cayenne,,SOOO
LIM,SPIM,Lima,LIM,SPIM
SPIM,SPIM,Lima,LIM,SPIM
SP-N,SPI1,Lima North,SP-N,SPIM
SPI1,SPI1,Lima North,SP-N,SPIM
SP-S,SPI2,Lima South,SP-S,SPIM
SPI2,SPI2,Lima South,SP-S,SPIM
SP-E,SPI3,Lima North East,SP-E,SPIM
SPI3,SPI3,Lima North East,SP-E,SPIM
SP-NE,SPI3,Lima North East,SP-NE,SPIM
SUEO,SUEO,Montevideo,,SUEO
SVZM,SVZM,Maiquetia,,SVZM
SYGC,SYGC,Georgetown,,SYGC
SJU,TJZS,San Juan,SJU,TJZS
TJZS,TJZS,San Juan,SJU,TJZS
TNCF,TNCF,Curaçao,,TNCF
TTZP,TTZP,Piarco,,TTZP
TTZO,TTZO,Piarco Oceanic,,TTZO
UAAA,UAAA,Almaty,,UAAA
UACN,UACN,Astana,,UACN
UAII,UAII,Shymkent,,UAII
UATT,UATT,Aktyubinsk,,UATT
UBBB,UBBA,Baku,UBBB,UBBA
UBBA,UBBA,Baku,UBBB,UBBA
UBBA-S,UBBA-S,Baku South,UBBA-S,UBBA-S
UCFM,UCFM,Bishkek,,UCFM
UCFO,UCFO,Osh,,UCFO
UGEE,UDDD,Yerevan,UGEE,UDDD
UDDD,UDDD,Yerevan,UGEE,UDDD
UEEE,UEEE,Yakutsk,,UEEE
UGGG,UGGG,Tbilisi,,UGGG
UHHH,UHHH,Khabarovsk,,UHHH
UHMM,UHMM,Magadan,,UHMM
UIII,UIII,Irkutsk,,UIII
UKBB,UKBV,Kyiv,UKBB,UKBV
UKBV,UKBV,Kyiv,UKBB,UKBV
UKFF,UKFV,Simferopol,UKFF,UKFV
UKFV,UKFV,Simferopol,UKFF,UKFV
UKDV,UKDV,Dnipro,,UKDV
UKLL,UKLV,Lviv,UKLL,UKLV
UKLV,UKLV,Lviv,UKLL,UKLV
UKOO,UKOV,Odesa,UKOO,UKOV
UKOV,UKOV,Odesa,UKOO,UKOV
UKR,UKR,Ukraine,,UKR
ULLL,ULLL,Sankt-Peterburg ACC Sankt-Peterburg FIR - Peterburg,ULLL,ULLL
ULLL_AM,ULLL-AM,"Sankt-Peterburg ACC sectors Arkhangelsk, Murmansk, Naryan-Mar, Oceanic - Peterburg",ULLL_AM,ULLL-AM
ULLL-AM,ULLL-AM,"Sankt-Peterburg ACC sectors Arkhangelsk, Murmansk, Naryan-Mar, Oceanic - Peterburg",ULLL_AM,ULLL-AM
ULLL_AR,ULLL-AR,Sankt-Peterburg ACC sector Arkhangelsk - Peterburg,ULLL_AR,ULLL-AR
ULLL-AR,ULLL-AR,Sankt-Peterburg ACC sector Arkhangelsk - Peterburg,ULLL_AR,ULLL-AR
ULLL_MO,ULLL-MO,Sankt-Peterburg ACC sector Oceanic - Peterburg,ULLL_MO,ULLL-MO
ULLL-MO,ULLL-MO,Sankt-Peterburg ACC sector Oceanic - Peterburg,ULLL_MO,ULLL-MO
ULLL_MR,ULLL-MR,Sankt-Peterburg ACC sector Murmansk - Peterburg,ULLL_MR,ULLL-MR
ULLL-MR,ULLL-MR,Sankt-Peterburg ACC sector Murmansk - Peterburg,ULLL_MR,ULLL-MR
ULLL_NM,ULLL-NM,Sankt-Peterburg ACC sector Naryan-Mar - Peterburg,ULLL_NM,ULLL-NM
ULLL-NM,ULLL-NM,Sankt-Peterburg ACC sector Naryan-Mar - Peterburg,ULLL_NM,ULLL-NM
ULLL_R,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R,ULLL-R
ULLL-R,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R,ULLL-R
ULLL_SW,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_SW,ULLL-R
ULLL_R1,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R1,ULLL-R
ULLL_R2,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R2,ULLL-R
ULLL_R3,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R3,ULLL-R
ULLL_R4,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R4,ULLL-R
ULLL_R5,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R5,ULLL-R
ULLL_R6,ULLL-R,Sankt-Peterburg ACC sector Peterburg - Peterburg,ULLL_R6,ULLL-R
ULLL_S,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S,ULLL-S
ULLL-S,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S,ULLL-S
ULLL_SC,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_SC,ULLL-S
ULLL_S1,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S1,ULLL-S
ULLL_S2,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S2,ULLL-S
ULLL_S3,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S3,ULLL-S
ULLL_S4,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S4,ULLL-S
ULLL_S5,ULLL-S,Sankt-Peterburg ACC sector Syktyvkar - Peterburg,ULLL_S5,ULLL-S
ULLL_W,ULLL-W,Sankt-Peterburg ACC sector Vologda - Peterburg,ULLL_W,ULLL-W
ULLL-W,ULLL-W,Sankt-Peterburg ACC sector Vologda - Peterburg,ULLL_W,ULLL-W
ULLL_W1,ULLL-W,Sankt-Peterburg ACC sector Vologda - Peterburg,ULLL_W1,ULLL-W
ULLL_W2,ULLL-W,Sankt-Peterburg ACC sector Vologda - Peterburg,ULLL_W2,ULLL-W
ULLL_KT,ULLL-KT,Sankt-Peterburg ACC sector Kotlas - Peterburg,ULLL_KT,ULLL-KT
ULLL-KT,ULLL-KT,Sankt-Peterburg ACC sector Kotlas - Peterburg,ULLL_KT,ULLL-KT
ULLL_WK,ULLL-WK,"Sankt-Peterburg ACC sectors Kotlas, Vologda - Peterburg",ULLL_WK,ULLL-WK
ULLL-WK,ULLL-WK,"Sankt-Peterburg ACC sectors Kotlas, Vologda - Peterburg",ULLL_WK,ULLL-WK
UMKK,UMKK,Kaliningrad,,UMKK
UMMM,UMMV,Minsk,UMMM,UMMV
UMMV,UMMV,Minsk,UMMM,UMMV
UNKL,UNKL,Krasnoyarsk,,UNKL
UNNT,UNNT,Novosibirsk,,UNNT
URRV,URRV,Rostov,,URRV
USSV,USSV,Yekaterinburg ACC - Ural,,USSV
USTV,USTV,Tyumen,,USTV
UTAA,UTAA,Ashkhabad,,UTAA
UTAK,UTAK,Turkmenbashy,,UTAK
UTAT,UTAT,Dashkhovuz,,UTAT
UTAV,UTAV,Turkmenabat,,UTAV
UTDD,UTDD,Dushanbe,,UTDD
UTSD,UTSD,Samarkand,,UTSD
UTTR,UTTR,Tashkent,,UTTR
UUWV,UUWV,Moscow,,UUWV
UWWW,UWWW,Samara,,UWWW
VAAH,VAAH,Ahmedabad,,VAAH
VABB,VABB,Mumbai ACC - Mumbai,,VABB
VABF,VABF,Mumbai,,VABF
VABX,VABX,Mumbai Oceanic,,VABX
VANP,VANP,Nagpur,,VANP
VCCF,VCCF,Colombo,,VCCF
VDPF,VDPF,Phnom Penh,,VDPF
VEBN,VEBN,Varanasi,,VEBN
VECC,VECC,Kolkata ACC - Kolkata,,VECC
VECC-B,VECC-B,Kolkata (Bhubneshwar) ACC - Kolkata,,VECC-B
VECC-R,VECC-R,Kolkata (Raipur) ACC - Kolkata,,VECC-R
VECF,VECF,Kolkata,,VECF
VECX,VECX,Kolkata Oceanic,,VECX
VEGF,VEGF,Guwahati,,VEGF
VGFR,VGFR,Dhaka,,VGFR
HKG,VHHK,Hong Kong,HKG,VHHK
VHHK,VHHK,Hong Kong,HKG,VHHK
VIDF,VIDF,Delhi,,VIDF
VIDP,VIDP,Delhi ACC - Delhi,,VIDP
VLVT,VLVT,Vientiane,,VLVT
VNSM,VNSM,Kathmandu,,VNSM
VOBL,VOBL,Bengaluru,,VOBL
VOCI,VOCI,Cochin,,VOCI
VOHS,VOHS,Shamshabad (Hyderabad),,VOHS
VOMF,VOMF,Chennai,,VOMF
VOML,VOML,Mangalore,,VOML
VOMM,VOMM,Chennai ACC - Chennai,,VOMM
VOMX,VOMX,Chennai Oceanic,,VOMX
VOTV,VOTV,Trivandrum,,VOTV
VRMF,VRMF,Male,,VRMF
VTBB,VTBB,Bangkok,,VTBB
VCL,VVCL,Mekong,VCL,VVCL
VVCL,VVCL,Mekong,VCL,VVCL
VVHN,VVHN,Hanoi,,VVHN
VVHM,VVHM,Ho Chi Minh,,VVHM
VYYF,VYYF,Yangon,,VYYF
WAAF,WAAF,Ujung Pandang,,WAAF
WAAF_B,WAAF-B,Ujung Pandang (Bali),WAAF_B,WAAF-B
WAAF-B,WAAF-B,Ujung Pandang (Bali),WAAF_B,WAAF-B
WAAF_W,WAAF-W,Ujung Pandang (West),WAAF_W,WAAF-W
WAAF-W,WAAF-W,Ujung Pandang (West),WAAF_W,WAAF-W
WAAF_E,WAAF-E,Ujung Pandang (East),WAAF_E,WAAF-E
WAAF-E,WAAF-E,Ujung Pandang (East),WAAF_E,WAAF-E
WBFC,WBFC,Kota Kinabalu,,WBFC
WBGG,WBGG,Kuching,,WBGG
WIIF,WIIF,Jakarta,,WIIF
WIIF_N,WIIF-N,Jakarta (North),WIIF_N,WIIF-N
WIIF-N,WIIF-N,Jakarta (North),WIIF_N,WIIF-N
WIIF_W,WIIF-W,Jakarta (West),WIIF_W,WIIF-W
WIIF-W,WIIF-W,Jakarta (West),WIIF_W,WIIF-W
WIIF_E,WIIF-E,Jakarta (East),WIIF_E,WIIF-E
WIIF-E,WIIF-E,Jakarta (East),WIIF_E,WIIF-E
WMFC,WMFC,Kuala Lumpur,,WMFC
WSJC,WSJC,Singapore,,WSJC
BN-ARA,YARA,Brisbane (Arafura) 133.7* (125.2),BN-ARA,YARA
YARA,YARA,Brisbane (Arafura) 133.7* (125.2),BN-ARA,YARA
BN-ARL,YARL,Brisbane (Armidale) 130.9,BN-ARL,YARL
YARL,YARL,Brisbane (Armidale) 130.9,BN-ARL,YARL
ML-ASP,YASP,Melbourne (Alice Springs) 128.85,ML-ASP,YASP
YASP,YASP,Melbourne (Alice Springs) 128.85,ML-ASP,YASP
ML-ASW,YASW,Melbourne (Alice Springs West) 131.8* (128.85),ML-ASW,YASW
YASW,YASW,Melbourne (Alice Springs West) 131.8* (128.85),ML-ASW,YASW
ML-AUG,YAUG,Melbourne (Augusta) 127.05* (123.05),ML-AUG,YAUG
YAUG,YAUG,Melbourne (Augusta) 127.05* (123.05),ML-AUG,YAUG
BN-BAR,YBAR,Brisbane (Barra) 123.8* (120.15),BN-BAR,YBAR
YBAR,YBAR,Brisbane (Barra) 123.8* (120.15),BN-BAR,YBAR
ML-BIK,YBIK,Melbourne (Bindook) 129.8,ML-BIK,YBIK
YBIK,YBIK,Melbourne (Bindook) 129.8,ML-BIK,YBIK
ML-BKE,YBKE,Melbourne (Bourke) 128.2* (128.85),ML-BKE,YBKE
YBKE,YBKE,Melbourne (Bourke) 128.2* (128.85),ML-BKE,YBKE
ML-BLA,YBLA,Melbourne (Benalla) 132.2* (123.75),ML-BLA,YBLA
YBLA,YBLA,Melbourne (Benalla) 132.2* (123.75),ML-BLA,YBLA
BN-BUR,YBUR,Brisbane (Burnett) 123.0* (134.2),BN-BUR,YBUR
YBUR,YBUR,Brisbane (Burnett) 123.0* (134.2),BN-BUR,YBUR
BN-CNK,YCNK,Brisbane (Cessnock) 123.4* (130.9),BN-CNK,YCNK
YCNK,YCNK,Brisbane (Cessnock) 123.4* (130.9),BN-CNK,YCNK
BN-COL,YCOL,Brisbane Radio (Coral) 133.15* (124.65),BN-COL,YCOL
YCOL,YCOL,Brisbane Radio (Coral) 133.15* (124.65),BN-COL,YCOL
ML-CRS,YCRS,Melbourne (Cross) 135.8* (133.9),ML-CRS,YCRS
YCRS,YCRS,Melbourne (Cross) 135.8* (133.9),ML-CRS,YCRS
BN-CVN,YCVN,Brisbane (Carnarvon) 133.8* (125.2),BN-CVN,YCVN
YCVN,YCVN,Brisbane (Carnarvon) 133.8* (125.2),BN-CVN,YCVN
BN-DOS,YDOS,Brisbane (Downs) 135.6* (134.2),BN-DOS,YDOS
YDOS,YDOS,Brisbane (Downs) 135.6* (134.2),BN-DOS,YDOS
ML-ELW,YELW,Melbourne (Eildon Weir) 123.75,ML-ELW,YELW
YELW,YELW,Melbourne (Eildon Weir) 123.75,ML-ELW,YELW
ML-ESP,YESP,Melbourne (Esperance) 123.95* (128.85),ML-ESP,YESP
YESP,YESP,Melbourne (Esperance) 123.95* (128.85),ML-ESP,YESP
BN-FLD,YFLD,Brisbane Radio (Flinders) 132.85* (124.65),BN-FLD,YFLD
YFLD,YFLD,Brisbane Radio (Flinders) 132.85* (124.65),BN-FLD,YFLD
ML-FOR,YFOR,Melbourne (Forest) 132.7* (128.85),ML-FOR,YFOR
YFOR,YFOR,Melbourne (Forest) 132.7* (128.85),ML-FOR,YFOR
ML-GEL,YGEL,Melbourne (Geraldton) 134.2* (133.9),ML-GEL,YGEL
YGEL,YGEL,Melbourne (Geraldton) 134.2* (133.9),ML-GEL,YGEL
BN-GOL,YGOL,Brisbane (Gold Coast) 130.4* (134.2),BN-GOL,YGOL
YGOL,YGOL,Brisbane (Gold Coast) 130.4* (134.2),BN-GOL,YGOL
ML-GTH,YGTH,Melbourne (Griffith) 122.75* (134.325),ML-GTH,YGTH
YGTH,YGTH,Melbourne (Griffith) 122.75* (134.325),ML-GTH,YGTH
ML-GUN,YGUN,Melbourne (Gundagai) 128.4* (129.8),ML-GUN,YGUN
YGUN,YGUN,Melbourne (Gundagai) 128.4* (129.8),ML-GUN,YGUN
ML-GVE,YGVE,Melbourne (Grove) 133.8* (133.9),ML-GVE,YGVE
YGVE,YGVE,Melbourne (Grove) 133.8* (133.9),ML-GVE,YGVE
ML-HUO,YHUO,Melbourne (Huon) 122.6,ML-HUO,YHUO
YHUO,YHUO,Melbourne (Huon) 122.6,ML-HUO,YHUO
BN-HWE,YHWE,Brisbane Radio (Howe) 124.95* (124.65),BN-HWE,YHWE
YHWE,YHWE,Brisbane Radio (Howe) 124.95* (124.65),BN-HWE,YHWE
ML-HYD,YHYD,Melbourne (Hyden) 118.2* (133.9),ML-HYD,YHYD
YHYD,YHYD,Melbourne (Hyden) 118.2* (133.9),ML-HYD,YHYD
ML-IND,YIND,Brisbane Radio (Indian) 129.25,ML-IND,YIND
YIND,YIND,Brisbane Radio (Indian) 129.25,ML-IND,YIND
ML-INE,YINE,Brisbane Radio (Indian East) 123.65* (129.25),ML-INE,YINE
YINE,YINE,Brisbane Radio (Indian East) 123.65* (129.25),ML-INE,YINE
BN-INL,YINL,Brisbane (Inverell) 134.2,BN-INL,YINL
YINL,YINL,Brisbane (Inverell) 134.2,BN-INL,YINL
ML-INS,YINS,Brisbane Radio (Indian South) 123.2* (129.25),ML-INS,YINS
